,freq,siec,nrg_bal,unit,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
80,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
81,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,XK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,AT,119.915,112.74,115.034,114.914,121.484,121.511,126.811,126.679,117.328,117.727,116.374,119.664,123.517,125.312,126.06,122.357,117.54,120.857,125.102
84,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.731,2.101,2.41,2.531,2.071,2.007,2.105,,
85,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,BE,22.606,22.742,23.7,24.271,25.608,25.222,27.358,29.112,28.462,32.038,33.134,35.879,38.448,40.61,41.584,42.917,40.495,27.631,32.682
86,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,BG,5.745,5.636,5.376,5.316,5.054,5.482,4.676,4.501,4.251,3.913,4.175,6.257,6.757,7.761,7.031,8.326,10.192,8.284,8.197
87,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,CZ,23.334,23.02,22.829,23.366,23.498,23.643,24.257,26.739,27.668,29.923,31.542,34.7,37.878,40.165,42.205,43.794,41.749,18.932,20.559
89,A,Electricity - renewable,Final consumption - transport sector - rail - energy use - Renewable Energy Directive,KTOE,DE,104.496,106.435,102.76,111.171,113.854,136.676,157.026,182.045,188.154,213.889,232.779,240.647,281.715,313.337,329.108,335.373,351.313,404.87,445.186
